season,ligue,xG_h,xG_a,pts_h,pts_a,xpts_h,xpts_a
2014,Ligue1,515.145064,387.5899987,631,421,603.9861,434.2146
2015,Ligue1,525.586263,387.8068078,588,444,616.4312,425.1911
2016,Ligue1,552.886065,412.2648925,652,394,619.823,425.30989999999997
2017,Ligue1,555.7971647,418.4363242,615,429,612.8375,435.6899
2018,Ligue1,549.9428541,419.5983717,602,428,606.7157,437.5328
2019,Ligue1,396.068483,295.85111870000003,472,295,443.0958,322.7787
2020,Ligue1,536.604726,473.5886253,521,524,554.9329,493.7077
2014,La Liga,576.4868871,418.7040952,604,445,626.1004,425.2366
2015,La Liga,600.8541021,448.6127457,641,407,613.1617,440.2198
2016,La Liga,550.6609276,401.5965412,632,419,626.3874,420.3651
2017,La Liga,617.210238,428.2119719,623,431,642.7442,406.8728
2018,La Liga,604.394408,451.340197,614,416,627.3698,418.7312
2019,La Liga,557.6283634,415.1384735,627,408,616.4828,428.9828
2020,La Liga,516.346604,435.0282444,583,448,573.1632,470.6259
2014,EPL,561.932808,404.5716281,609,438,625.1034,419.88689999999997
2015,EPL,540.1834398,440.8216962,578,455,589.7636,458.3156
2016,EPL,554.1787635,429.3692562,645,411,602.2065,447.9936
2017,EPL,568.7833757,423.1852374,618,423,614.3714,438.3743
2018,EPL,605.3340024,479.9046581,614,455,594.1555,461.6713
2019,EPL,583.171278,500.081438,608,440,580.4305,475.3672
2020,EPL,543.8690725,495.4369213,515,542,551.172,502.743
2014,Bundesliga,460.537187,342.4428049,517,319,496.8399,345.9633
2015,Bundesliga,487.39345959999997,376.8914602,476,371,482.403,365.9211
2016,Bundesliga,482.52738,360.1929153,524,320,496.0015,350.0911
2017,Bundesliga,470.6298397,347.02494831,500,335,502.5706,342.8347
2018,Bundesliga,544.0682647,430.532293,487,358,496.2764,358.8596
2019,Bundesliga,502.77236,454.5219252,437,413,456.799,396.601
2020,Bundesliga,467.3389455,407.9478121,468,369,452.7632,393.9821
2014,Serie A,552.3897387,429.17383,576,444,607.7192,437.4803
2015,Serie A,543.4816219,412.8514641,620,425,612.3199,432.8098
2016,Serie A,589.85333,456.9894737,635,425,606.9329,445.6055
2017,Serie A,532.4465931,442.306594,575,482,574.6876,476.4091
2018,Serie A,584.1153291,460.0060618,606,426,606.6502,441.9466
2019,Serie A,617.14905,519.3881319,559,496,583.343,472.6328
2020,Serie A,600.2447789,537.8032849,562,481,568.3157,487.526
2014,RFPL,323.0625834,233.6518503,379,280,384.1965,272.9469
2015,RFPL,311.9819382,250.13427598,361,292,371.7523,284.4742
2016,RFPL,256.7333978,195.1077383,401,254,372.0679,273.2338
2017,RFPL,295.441375,218.5115977,364,289,383.6388,270.3177
2018,RFPL,310.701059,230.3564044,379,271,383.4472,272.0077
2019,RFPL,331.2064626,273.385584,326,329,362.0643,295.1181
2020,RFPL,339.139524,262.7601424,398,272,379.0725,284.1315
