team_name,season,h_a,xG,match_round,GF,GA,GD
de Dortmund,2023,h,2.1,Final,0,2,-2
es Real Madrid,2023,a,1.1,Final,2,0,2
de Bayern Munich,2023,a,0.4,Semi-finals Leg 2,1,2,-1
es Real Madrid,2023,h,2.8,Semi-finals Leg 2,2,1,1
fr Paris S-G,2023,h,3.0,Semi-finals Leg 2,0,1,-1
de Dortmund,2023,a,0.7,Semi-finals Leg 2,1,0,1
de Dortmund,2023,h,1.7,Semi-finals Leg 1,1,0,1
fr Paris S-G,2023,a,1.7,Semi-finals Leg 1,0,1,-1
es Real Madrid,2023,a,1.9,Semi-finals Leg 1,2,2,0
de Bayern Munich,2023,h,1.6,Semi-finals Leg 1,2,2,0
eng Manchester City,2023,h,2.7,Quarter-finals Leg 2,1,1,0
es Real Madrid,2023,a,1.4,Quarter-finals Leg 2,1,1,0
eng Arsenal,2023,a,0.4,Quarter-finals Leg 2,0,1,-1
de Bayern Munich,2023,h,1.3,Quarter-finals Leg 2,1,0,1
es Barcelona,2023,h,1.1,Quarter-finals Leg 2,1,4,-3
es Atlético Madrid,2023,a,1.9,Quarter-finals Leg 2,2,4,-2
de Dortmund,2023,h,1.5,Quarter-finals Leg 2,4,2,2
fr Paris S-G,2023,a,2.3,Quarter-finals Leg 2,4,1,3
fr Paris S-G,2023,h,1.2,Quarter-finals Leg 1,2,3,-1
de Dortmund,2023,a,0.9,Quarter-finals Leg 1,1,2,-1
es Atlético Madrid,2023,h,2.2,Quarter-finals Leg 1,2,1,1
es Barcelona,2023,a,1.9,Quarter-finals Leg 1,3,2,1
de Bayern Munich,2023,a,1.9,Quarter-finals Leg 1,2,2,0
es Real Madrid,2023,h,0.7,Quarter-finals Leg 1,3,3,0
eng Arsenal,2023,h,1.0,Quarter-finals Leg 1,2,2,0
eng Manchester City,2023,a,0.8,Quarter-finals Leg 1,3,3,0
nl PSV Eindhoven,2023,a,1.5,Rd of 16 Leg 2,0,2,-2
it Inter,2023,a,1.6,Rd of 16 Leg 2,1,2,-1
es Atlético Madrid,2023,h,2.7,Rd of 16 Leg 2,2,1,1
de Dortmund,2023,h,1.5,Rd of 16 Leg 2,2,0,2
eng Arsenal,2023,h,0.9,Rd of 16 Leg 2,1,0,1
es Barcelona,2023,h,2.7,Rd of 16 Leg 2,3,1,2
it Napoli,2023,a,1.3,Rd of 16 Leg 2,1,3,-2
pt Porto,2023,a,0.5,Rd of 16 Leg 2,0,1,-1
eng Manchester City,2023,h,0.8,Rd of 16 Leg 2,3,1,2
es Real Madrid,2023,h,0.8,Rd of 16 Leg 2,1,1,0
de RB Leipzig,2023,a,1.0,Rd of 16 Leg 2,1,1,0
dk FC Copenhagen,2023,a,1.2,Rd of 16 Leg 2,1,3,-2
fr Paris S-G,2023,a,1.4,Rd of 16 Leg 2,2,1,1
de Bayern Munich,2023,h,3.5,Rd of 16 Leg 2,3,0,3
it Lazio,2023,a,0.4,Rd of 16 Leg 2,0,3,-3
es Real Sociedad,2023,h,0.9,Rd of 16 Leg 2,1,2,-1
pt Porto,2023,h,1.0,Rd of 16 Leg 1,1,0,1
it Napoli,2023,h,0.9,Rd of 16 Leg 1,1,1,0
eng Arsenal,2023,a,0.4,Rd of 16 Leg 1,0,1,-1
es Barcelona,2023,a,0.7,Rd of 16 Leg 1,1,1,0
it Inter,2023,h,2.3,Rd of 16 Leg 1,1,0,1
es Atlético Madrid,2023,a,0.6,Rd of 16 Leg 1,0,1,-1
nl PSV Eindhoven,2023,h,1.6,Rd of 16 Leg 1,1,1,0
de Dortmund,2023,a,0.9,Rd of 16 Leg 1,1,1,0
es Real Sociedad,2023,a,0.7,Rd of 16 Leg 1,0,2,-2
fr Paris S-G,2023,h,1.2,Rd of 16 Leg 1,2,0,2
de Bayern Munich,2023,a,1.1,Rd of 16 Leg 1,0,1,-1
it Lazio,2023,h,1.6,Rd of 16 Leg 1,1,0,1
es Real Madrid,2023,a,1.4,Rd of 16 Leg 1,1,0,1
de RB Leipzig,2023,h,1.4,Rd of 16 Leg 1,0,1,-1
dk FC Copenhagen,2023,h,0.3,Rd of 16 Leg 1,1,3,-2
eng Manchester City,2023,a,3.3,Rd of 16 Leg 1,3,1,2
es Barcelona,2023,a,1.1,Group,2,3,-1
nl Feyenoord,2023,a,2.1,Group,1,2,-1
de Dortmund,2023,h,1.4,Group,1,1,0
de RB Leipzig,2023,h,0.7,Group,2,1,1
rs Red Star,2023,h,1.1,Group,2,3,-1
eng Manchester City,2023,a,1.4,Group,3,2,1
it Milan,2023,a,1.9,Group,2,1,1
ch Young Boys,2023,a,1.5,Group,1,2,-1
pt Porto,2023,h,2.7,Group,5,3,2
es Atlético Madrid,2023,h,1.3,Group,2,0,2
it Lazio,2023,a,0.9,Group,0,2,-2
be Antwerp,2023,h,1.7,Group,3,2,1
sct Celtic,2023,h,2.2,Group,2,1,1
ua Shakhtar,2023,a,1.5,Group,3,5,-2
fr Paris S-G,2023,a,2.8,Group,1,1,0
eng Newcastle Utd,2023,h,1.8,Group,1,2,-1
de Bayern Munich,2023,a,1.2,Group,1,0,1
es Sevilla,2023,a,1.3,Group,1,2,-1
at RB Salzburg,2023,h,1.6,Group,1,3,-2
nl PSV Eindhoven,2023,h,1.3,Group,1,1,0
es Real Sociedad,2023,a,0.7,Group,0,0,0
pt Benfica,2023,a,3.1,Group,3,1,2
it Inter,2023,h,0.7,Group,0,0,0
it Napoli,2023,h,1.4,Group,2,0,2
fr Lens,2023,h,1.4,Group,2,1,1
de Union Berlin,2023,h,1.1,Group,2,3,-1
dk FC Copenhagen,2023,h,1.3,Group,1,0,1
tr Galatasaray,2023,a,1.4,Group,0,1,-1
es Real Madrid,2023,a,2.9,Group,3,2,1
eng Arsenal,2023,a,1.0,Group,1,1,0
pt Braga,2023,a,1.0,Group,0,2,-2
eng Manchester Utd,2023,h,0.3,Group,0,1,-1
tr Galatasaray,2023,h,1.5,Group,3,3,0
es Real Madrid,2023,h,2.8,Group,4,2,2
at RB Salzburg,2023,a,0.6,Group,0,0,0
eng Arsenal,2023,h,2.6,Group,6,0,6
nl PSV Eindhoven,2023,a,2.2,Group,3,2,1
it Inter,2023,a,3.0,Group,3,3,0
es Real Sociedad,2023,h,1.3,Group,0,0,0
fr Lens,2023,a,0.4,Group,0,6,-6
pt Braga,2023,h,1.8,Group,1,1,0
de Bayern Munich,2023,h,0.7,Group,0,0,0
dk FC Copenhagen,2023,a,0.7,Group,0,0,0
de Union Berlin,2023,a,0.8,Group,1,1,0
pt Benfica,2023,h,1.6,Group,3,3,0
eng Manchester Utd,2023,a,1.6,Group,3,3,0
es Sevilla,2023,h,1.8,Group,2,3,-1
it Napoli,2023,a,1.4,Group,2,4,-2
it Milan,2023,h,2.1,Group,1,3,-2
be Antwerp,2023,a,1.1,Group,0,1,-1
nl Feyenoord,2023,h,1.1,Group,1,3,-2
es Barcelona,2023,h,1.8,Group,2,1,1
sct Celtic,2023,a,0.4,Group,0,2,-2
eng Manchester City,2023,h,1.8,Group,3,2,1
ch Young Boys,2023,h,1.3,Group,2,0,2
fr Paris S-G,2023,h,4.4,Group,1,1,0
pt Porto,2023,a,1.1,Group,1,2,-1
es Atlético Madrid,2023,a,1.3,Group,3,1,2
rs Red Star,2023,a,1.8,Group,0,2,-2
ua Shakhtar,2023,h,1.3,Group,1,0,1
de RB Leipzig,2023,a,0.5,Group,2,3,-1
it Lazio,2023,h,2.3,Group,2,0,2
eng Newcastle Utd,2023,a,1.3,Group,1,1,0
de Dortmund,2023,a,1.8,Group,3,1,2
eng Manchester Utd,2023,a,3.0,Group,3,4,-1
es Real Sociedad,2023,h,3.3,Group,3,1,2
at RB Salzburg,2023,h,0.8,Group,0,1,-1
nl PSV Eindhoven,2023,h,0.8,Group,1,0,1
it Napoli,2023,h,1.7,Group,1,1,0
it Inter,2023,a,2.0,Group,1,0,1
es Real Madrid,2023,h,3.2,Group,3,0,3
eng Arsenal,2023,h,1.5,Group,2,0,2
pt Benfica,2023,a,0.8,Group,1,3,-2
tr Galatasaray,2023,a,0.7,Group,1,2,-1
fr Lens,2023,a,1.1,Group,0,1,-1
de Union Berlin,2023,a,1.1,Group,1,1,0
es Sevilla,2023,a,0.0,Group,0,2,-2
pt Braga,2023,a,1.4,Group,0,3,-3
de Bayern Munich,2023,h,2.5,Group,2,1,1
dk FC Copenhagen,2023,h,2.2,Group,4,3,1
pt Porto,2023,h,2.2,Group,2,0,2
eng Newcastle Utd,2023,a,0.6,Group,0,2,-2
nl Feyenoord,2023,a,1.4,Group,0,1,-1
it Milan,2023,h,1.4,Group,2,1,1
eng Manchester City,2023,h,3.4,Group,3,0,3
de RB Leipzig,2023,a,2.3,Group,2,1,1
es Atlético Madrid,2023,h,2.9,Group,6,0,6
sct Celtic,2023,a,0.0,Group,0,6,-6
it Lazio,2023,h,1.1,Group,1,0,1
es Barcelona,2023,a,0.9,Group,0,1,-1
be Antwerp,2023,a,0.6,Group,0,2,-2
ua Shakhtar,2023,h,0.9,Group,1,0,1
fr Paris S-G,2023,a,1.5,Group,1,2,-1
ch Young Boys,2023,a,0.0,Group,0,3,-3
rs Red Star,2023,h,1.5,Group,1,2,-1
de Dortmund,2023,h,1.4,Group,2,0,2
nl Feyenoord,2023,h,2.1,Group,3,1,2
rs Red Star,2023,a,1.0,Group,1,3,-2
de Dortmund,2023,a,1.8,Group,1,0,1
eng Newcastle Utd,2023,h,1.1,Group,0,1,-1
es Barcelona,2023,h,2.6,Group,2,1,1
it Milan,2023,a,0.6,Group,0,3,-3
sct Celtic,2023,h,0.9,Group,2,2,0
pt Porto,2023,a,1.3,Group,4,1,3
ch Young Boys,2023,h,0.4,Group,1,3,-2
ua Shakhtar,2023,a,0.9,Group,1,2,-1
de RB Leipzig,2023,h,3.1,Group,3,1,2
be Antwerp,2023,h,0.7,Group,1,4,-3
fr Paris S-G,2023,h,1.3,Group,3,0,3
eng Manchester City,2023,a,4.2,Group,3,1,2
it Lazio,2023,a,2.3,Group,1,3,-2
es Atlético Madrid,2023,a,2.1,Group,2,2,0
nl PSV Eindhoven,2023,a,0.5,Group,1,1,0
de Union Berlin,2023,h,0.4,Group,0,1,-1
pt Benfica,2023,h,0.5,Group,0,1,-1
fr Lens,2023,h,1.2,Group,1,1,0
tr Galatasaray,2023,h,2.7,Group,1,3,-2
it Inter,2023,h,2.3,Group,2,1,1
es Real Sociedad,2023,a,0.9,Group,1,0,1
es Sevilla,2023,h,0.8,Group,1,2,-1
dk FC Copenhagen,2023,a,1.9,Group,0,1,-1
it Napoli,2023,a,0.2,Group,1,0,1
es Real Madrid,2023,a,0.9,Group,2,1,1
eng Manchester Utd,2023,h,1.7,Group,1,0,1
eng Arsenal,2023,a,1.9,Group,2,1,1
pt Braga,2023,h,1.5,Group,1,2,-1
at RB Salzburg,2023,a,0.5,Group,1,2,-1
de Bayern Munich,2023,a,1.9,Group,3,1,2
pt Porto,2023,h,0.7,Group,0,1,-1
es Barcelona,2023,a,1.3,Group,1,0,1
ch Young Boys,2023,a,2.6,Group,2,2,0
fr Paris S-G,2023,a,0.9,Group,1,4,-3
eng Newcastle Utd,2023,h,0.9,Group,4,1,3
it Milan,2023,a,1.6,Group,0,0,0
it Lazio,2023,a,0.7,Group,2,1,1
de RB Leipzig,2023,h,0.5,Group,1,3,-2
es Atlético Madrid,2023,h,0.8,Group,3,2,1
nl Feyenoord,2023,a,2.4,Group,2,3,-1
eng Manchester City,2023,a,2.2,Group,3,1,2
be Antwerp,2023,h,1.8,Group,2,3,-1
rs Red Star,2023,h,2.6,Group,2,2,0
de Dortmund,2023,h,1.0,Group,0,0,0
de RB Leipzig,2023,h,0.5,Group,1,3,-2
de Dortmund,2023,h,1.0,Group,0,0,0
tr Galatasaray,2023,a,2.6,Group,3,2,1
it Inter,2023,h,3.8,Group,1,0,1
es Real Madrid,2023,a,1.4,Group,3,2,1
eng Arsenal,2023,a,1.5,Group,1,2,-1
at RB Salzburg,2023,h,0.6,Group,0,2,-2
es Real Sociedad,2023,a,1.2,Group,2,0,2
pt Benfica,2023,a,0.3,Group,0,1,-1
de Bayern Munich,2023,a,0.9,Group,2,1,1
it Napoli,2023,h,1.9,Group,2,3,-1
de Union Berlin,2023,h,2.0,Group,2,3,-1
dk FC Copenhagen,2023,h,0.9,Group,1,2,-1
eng Manchester Utd,2023,h,2.3,Group,2,3,-1
nl PSV Eindhoven,2023,h,2.6,Group,2,2,0
pt Braga,2023,a,1.2,Group,3,2,1
es Sevilla,2023,a,1.3,Group,2,2,0
fr Lens,2023,h,0.7,Group,2,1,1
nl PSV Eindhoven,2023,a,0.5,Group,0,4,-4
pt Braga,2023,h,1.4,Group,1,2,-1
it Napoli,2023,a,1.7,Group,2,1,1
eng Manchester Utd,2023,a,1.7,Group,3,4,-1
at RB Salzburg,2023,a,3.3,Group,2,0,2
tr Galatasaray,2023,h,1.1,Group,2,2,0
es Real Madrid,2023,h,3.7,Group,1,0,1
pt Benfica,2023,h,1.5,Group,0,2,-2
es Sevilla,2023,h,0.8,Group,1,1,0
it Inter,2023,a,0.5,Group,1,1,0
es Real Sociedad,2023,h,1.3,Group,1,1,0
dk FC Copenhagen,2023,a,0.6,Group,2,2,0
de Bayern Munich,2023,h,2.2,Group,4,3,1
fr Lens,2023,a,1.3,Group,1,1,0
de Union Berlin,2023,a,0.2,Group,0,1,-1
eng Arsenal,2023,h,2.3,Group,4,0,4
fr Paris S-G,2023,h,2.4,Group,2,0,2
ch Young Boys,2023,h,0.5,Group,1,3,-2
ua Shakhtar,2023,h,0.5,Group,1,3,-2
sct Celtic,2023,a,0.3,Group,0,2,-2
be Antwerp,2023,a,0.3,Group,0,5,-5
nl Feyenoord,2023,h,1.6,Group,2,0,2
it Milan,2023,h,1.9,Group,0,0,0
de RB Leipzig,2023,a,2.6,Group,3,1,2
rs Red Star,2023,a,0.8,Group,1,3,-2
pt Porto,2023,a,1.8,Group,3,1,2
eng Newcastle Utd,2023,a,0.3,Group,0,0,0
it Lazio,2023,h,1.2,Group,1,1,0
es Barcelona,2023,h,2.8,Group,5,0,5
de Dortmund,2023,a,0.7,Group,0,2,-2
eng Manchester City,2023,h,4.1,Group,3,1,2
es Atlético Madrid,2023,a,0.9,Group,1,1,0
it Inter,2022,a,1.7,Final,0,1,-1
eng Manchester City,2022,a,1.0,Final,1,0,1
es Real Madrid,2022,a,0.5,Semi-finals Leg 2,0,4,-4
eng Manchester City,2022,h,2.8,Semi-finals Leg 2,4,0,4
it Milan,2022,a,0.5,Semi-finals Leg 2,0,1,-1
it Inter,2022,h,1.0,Semi-finals Leg 2,1,0,1
