Rk,Team,Date,xG,h_a,Opp,Comp,Round,TieRslt,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
1,de Dortmund,2024-06-01,2.1,,es Real Madrid,Champions League,Final,,L 0-2,0,2,-2,43,0,0,0,0,2.1,2.1,+1.0,+1.0,1.2,1.4,-2.1,-2.1,-1.2,0.17,13,0.00,0.00,3,23.1,16.2,0,Match Report
2,es Real Madrid,2024-06-01,1.1,@,de Dortmund,Champions League,Final,,W 2-0,2,0,+2,57,2,0,0,0,1.1,1.1,-1.0,-1.0,0.9,0.8,+0.9,+0.9,+1.1,0.09,13,0.15,0.33,6,46.2,17.1,2,Match Report
3,de Bayern Munich,2024-05-08,0.4,@,es Real Madrid,Champions League,Semi-finals Leg 2,L 3-4,L 1-2,1,2,-1,43,1,0,0,0,0.4,0.4,-2.5,-2.5,0.2,0.3,+0.6,+0.6,+0.8,0.04,8,0.13,0.20,5,62.5,17.4,0,Match Report
4,es Real Madrid,2024-05-08,2.8,,de Bayern Munich,Champions League,Semi-finals Leg 2,W 4-3,W 2-1,2,1,+1,57,2,0,0,0,2.8,2.8,+2.5,+2.5,1.7,2.0,-0.8,-0.8,-0.7,0.16,19,0.11,0.29,7,36.8,17.6,1,Match Report
5,fr Paris S-G,2024-05-07,3.0,,de Dortmund,Champions League,Semi-finals Leg 2,L 0-2,L 0-1,0,1,-1,69,0,0,0,0,3.0,3.0,+2.3,+2.3,2.4,1.7,-3.0,-3.0,-2.4,0.11,30,0.00,0.00,5,16.7,17.5,1,Match Report
6,de Dortmund,2024-05-07,0.7,@,fr Paris S-G,Champions League,Semi-finals Leg 2,W 2-0,W 1-0,1,0,+1,31,1,0,0,0,0.7,0.7,-2.3,-2.3,0.7,0.4,+0.3,+0.3,+0.3,0.11,7,0.14,0.33,3,42.9,13.7,0,Match Report
7,de Dortmund,2024-05-01,1.7,,fr Paris S-G,Champions League,Semi-finals Leg 1,W 2-0,W 1-0,1,0,+1,43,1,0,0,0,1.7,1.7,0.0,0.0,1.4,1.7,-0.7,-0.7,-0.4,0.14,13,0.08,0.25,4,30.8,14.7,0,Match Report
8,fr Paris S-G,2024-05-01,1.7,@,de Dortmund,Champions League,Semi-finals Leg 1,L 0-2,L 0-1,0,1,-1,57,0,0,0,0,1.7,1.7,0.0,0.0,1.6,1.9,-1.7,-1.7,-1.6,0.12,14,0.00,0.00,3,21.4,16.3,0,Match Report
9,es Real Madrid,2024-04-30,1.9,@,de Bayern Munich,Champions League,Semi-finals Leg 1,W 4-3,D 2-2,2,2,0,49,1,1,1,0,1.9,1.1,+0.3,+0.3,1.0,0.6,+0.1,-0.1,0.0,0.12,9,0.11,0.33,3,33.3,18.2,1,Match Report
10,de Bayern Munich,2024-04-30,1.6,,es Real Madrid,Champions League,Semi-finals Leg 1,L 3-4,D 2-2,2,2,0,51,1,1,1,0,1.6,0.8,-0.3,-0.3,0.7,0.9,+0.4,+0.2,+0.3,0.06,13,0.08,0.25,4,30.8,20.2,1,Match Report
11,eng Manchester City,2024-04-17,2.7,,es Real Madrid,Champions League,Quarter-finals Leg 2,L 4-4 (pk),D 1-1 (pk),1,1,0,67,1,0,0,0,2.7,2.7,+1.3,+1.3,1.9,2.5,-1.7,-1.7,-1.9,0.08,33,0.03,0.11,9,27.3,15.1,0,Match Report
12,es Real Madrid,2024-04-17,1.4,@,eng Manchester City,Champions League,Quarter-finals Leg 2,W 4-4 (pk),D 1-1 (pk),1,1,0,33,1,0,0,0,1.4,1.4,-1.3,-1.3,0.9,0.8,-0.4,-0.4,-0.9,0.23,8,0.13,0.33,3,37.5,19.2,0,Match Report
13,eng Arsenal,2024-04-17,0.4,@,de Bayern Munich,Champions League,Quarter-finals Leg 2,L 2-3,L 0-1,0,1,-1,49,0,0,0,0,0.4,0.4,-0.9,-0.9,0.3,0.6,-0.4,-0.4,-0.3,0.05,8,0.00,0.00,3,37.5,17.6,0,Match Report
14,de Bayern Munich,2024-04-17,1.3,,eng Arsenal,Champions League,Quarter-finals Leg 2,W 3-2,W 1-0,1,0,+1,51,1,0,0,0,1.3,1.3,+0.9,+0.9,1.2,1.0,-0.3,-0.3,-0.2,0.09,15,0.07,0.33,3,20.0,14.9,0,Match Report
15,es Barcelona,2024-04-16,1.1,,fr Paris S-G,Champions League,Quarter-finals Leg 2,L 4-6,L 1-4,1,4,-3,33,1,0,0,0,1.1,1.1,-1.3,-0.5,1.0,0.7,-0.1,-0.1,0.0,0.15,7,0.14,0.33,3,42.9,14.2,0,Match Report
16,es Atlético Madrid,2024-04-16,1.9,@,de Dortmund,Champions League,Quarter-finals Leg 2,L 4-5,L 2-4,2,4,-2,48,1,0,0,0,1.9,1.9,+0.4,+0.4,1.4,0.7,-0.9,-0.9,-1.4,0.20,10,0.10,0.33,3,30.0,13.7,0,Match Report
17,de Dortmund,2024-04-16,1.5,,es Atlético Madrid,Champions League,Quarter-finals Leg 2,W 5-4,W 4-2,4,2,+2,52,4,0,0,0,1.5,1.5,-0.4,-0.4,1.3,1.3,+2.5,+2.5,+1.7,0.08,19,0.21,0.44,9,47.4,16.9,0,Match Report
18,fr Paris S-G,2024-04-16,2.3,@,es Barcelona,Champions League,Quarter-finals Leg 2,W 6-4,W 4-1,4,1,+3,67,3,1,1,0,2.3,1.6,+1.3,+0.5,1.1,0.9,+1.7,+1.4,+0.9,0.09,20,0.15,0.38,8,40.0,17.7,1,Match Report
