team_id,team_name,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def
94,Verona,h,0.865017,1.16312,0.865017,1.16312,2,11,1,1,1.0943,d,2015-08-22 20:00:00,0,1,0,1,-0.2981029999999999,309,20,112,18
94,Verona,a,0.520796,2.03288,0.520796,2.03288,4,7,0,2,0.3174,l,2015-08-30 22:45:00,0,0,1,0,-1.512084,211,23,110,27
94,Verona,h,1.61701,0.926644,0.855706,0.926644,2,7,2,2,1.957,d,2015-09-13 14:30:00,0,1,0,1,-0.07093800000000006,256,21,231,26
94,Verona,a,0.753904,0.921773,0.753904,0.921773,2,7,1,1,1.1668,d,2015-09-20 17:00:00,0,1,0,1,-0.16786899999999993,176,23,148,21
94,Verona,a,0.240971,0.838775,0.240971,0.838775,6,8,0,1,0.7021,l,2015-09-23 22:45:00,0,0,1,0,-0.597804,296,19,188,27
94,Verona,h,1.07591,2.28189,1.07591,1.52067,3,12,1,2,0.3916,l,2015-09-27 17:00:00,0,0,1,0,-0.44476000000000004,283,20,156,34
94,Verona,a,1.11646,1.67182,1.11646,1.67182,6,6,1,1,0.9111,d,2015-10-03 22:45:00,0,1,0,1,-0.5553600000000001,233,20,197,41
94,Verona,h,1.10503,0.839325,0.343733,0.839325,3,2,1,1,1.6379000000000001,d,2015-10-18 17:00:00,0,1,0,1,-0.495592,257,18,242,29
94,Verona,a,0.629179,2.84874,0.629179,2.84874,9,9,1,4,0.1669,l,2015-10-25 15:30:00,0,0,1,0,-2.2195609999999997,229,16,272,23
94,Verona,h,0.0829689,1.97422,0.0829689,1.97422,2,5,0,2,0.074,l,2015-10-28 23:45:00,0,0,1,0,-1.8912511,411,35,201,19
94,Verona,a,0.525153,1.24528,0.525153,1.24528,7,5,0,0,0.6918,d,2015-11-01 18:00:00,0,1,0,1,-0.720127,113,28,246,28
94,Verona,h,0.238936,1.29364,0.238936,1.29364,7,3,0,2,0.39670000000000005,l,2015-11-07 21:00:00,0,0,1,0,-1.0547039999999999,239,32,243,12
94,Verona,h,0.169838,2.39349,0.169838,2.39349,0,19,0,2,0.0891,l,2015-11-22 15:30:00,0,0,1,0,-2.223652,433,16,157,30
94,Verona,a,0.811855,2.46758,0.811855,1.70628,5,6,2,3,0.31789999999999996,l,2015-11-29 18:00:00,0,0,1,0,-0.894425,187,25,157,31
94,Verona,h,1.40759,0.644992,1.40759,0.644992,3,6,0,1,2.0140000000000002,l,2015-12-06 18:00:00,0,0,1,0,0.7625979999999999,238,29,270,21
94,Verona,a,1.06932,1.44621,0.308019,1.44621,4,7,1,1,1.0273,d,2015-12-13 18:00:00,0,1,0,1,-1.138191,260,23,173,18
94,Verona,h,1.16023,1.49577,1.16023,1.49577,4,4,1,1,1.0647000000000002,d,2015-12-20 18:00:00,0,1,0,1,-0.33553999999999995,274,27,195,30
94,Verona,a,0.268673,1.4656,0.268673,1.4656,3,6,0,3,0.371,l,2016-01-06 18:00:00,0,0,1,0,-1.196927,297,18,236,30
94,Verona,h,2.97331,1.12513,2.97331,1.12513,11,6,0,1,2.5406000000000004,l,2016-01-10 18:00:00,0,0,1,0,1.8481800000000002,144,33,223,24
94,Verona,a,1.20156,2.46945,0.440265,2.46945,3,10,1,1,0.5341,d,2016-01-17 18:00:00,0,1,0,1,-2.029185,348,19,128,22
94,Verona,h,1.74303,0.67278,1.74303,0.67278,5,1,1,1,2.2685,d,2016-01-24 18:00:00,0,1,0,1,1.0702500000000001,284,39,181,40
94,Verona,a,0.546912,1.61682,0.546912,1.61682,5,11,0,0,0.45740000000000003,d,2016-01-31 18:00:00,0,1,0,1,-1.0699079999999999,226,31,156,25
94,Verona,h,1.54232,1.36097,1.54232,1.36097,4,7,2,1,1.5343999999999998,w,2016-02-03 23:45:00,1,0,0,3,0.1813499999999999,207,37,172,30
94,Verona,h,1.30961,2.40052,1.30961,2.40052,4,3,3,3,0.639,d,2016-02-07 15:30:00,0,1,0,1,-1.0909100000000003,303,22,83,25
94,Verona,a,0.363488,4.18006,0.363488,3.41876,3,14,2,5,0.0045,l,2016-02-11 23:45:00,0,0,1,0,-3.055272,300,21,179,33
94,Verona,h,2.44214,1.28607,1.55167,0.524773,6,2,3,1,2.2357,w,2016-02-20 21:00:00,1,0,0,3,1.026897,223,16,111,36
94,Verona,a,0.58858,2.04738,0.58858,2.04738,6,5,0,2,0.3006,l,2016-02-28 18:00:00,0,0,1,0,-1.4588,213,26,211,13
94,Verona,h,1.17161,2.77424,1.17161,2.77424,5,5,0,3,0.3903,l,2016-03-05 21:00:00,0,0,1,0,-1.6026299999999998,322,35,195,22
94,Verona,a,0.780842,0.614992,0.780842,0.614992,3,8,1,1,1.4595,d,2016-03-13 18:00:00,0,1,0,1,0.16585000000000005,395,24,225,23
94,Verona,h,0.68967,1.2492,0.68967,1.2492,5,5,1,2,0.823,l,2016-03-20 18:00:00,0,0,1,0,-0.5595300000000001,122,31,278,30
94,Verona,a,0.742433,1.00837,0.742433,1.00837,3,6,1,0,1.0832,w,2016-04-04 22:45:00,1,0,0,3,-0.265937,272,22,176,27
94,Verona,a,0.313473,3.60923,0.313473,2.84793,6,12,0,3,0.0325,l,2016-04-10 17:00:00,0,0,1,0,-2.5344569999999997,367,16,256,26
94,Verona,h,2.02081,1.10944,2.02081,1.10944,5,4,1,2,2.1172,l,2016-04-17 17:00:00,0,0,1,0,0.91137,118,30,193,15
94,Verona,a,1.9251,2.20742,1.9251,2.20742,9,10,0,1,1.164,l,2016-04-20 22:45:00,0,0,1,0,-0.2823199999999999,321,34,165,23
94,Verona,h,2.66469,1.41824,1.90339,1.41824,9,11,2,1,2.1805999999999996,w,2016-04-25 19:00:00,1,0,0,3,0.48514999999999997,343,28,130,23
94,Verona,a,0.483795,0.51533,0.483795,0.51533,4,4,0,1,1.1825999999999999,l,2016-05-01 17:00:00,0,0,1,0,-0.03153499999999998,274,25,223,30
94,Verona,h,1.65219,1.30062,0.890936,0.539326,6,11,2,1,1.6633999999999998,w,2016-05-08 22:45:00,1,0,0,3,0.35161,292,32,195,22
94,Verona,a,1.35761,0.789971,1.35761,0.789971,5,1,2,3,1.8691999999999998,l,2016-05-15 22:45:00,0,0,1,0,0.567639,180,22,363,23
